Q1_i,Q1_ii,Q1_iii,Q1_iv,Q1_i_score,Q1_ii_score,Q1_iii_score,Q1_iv_score,Total_Q1,Q2_i,Q2_ii,Q2_i_score,Q2_ii_score,Total_Q2,Q3_i,Q3_ii,Q3_i_score,Q3_ii_score,Total_Q3,Q4,Q4_score,Total_Q4,Q5_i,Q5_ii,Q5_iii,Q5_i_score,Q5_ii_score,Q5_iii_score,Total_Q5,Q6_i,Q6_ii,Q6_i_score,Q6_ii_score,Total_Q6,Q7,Q7_score,Total_Q7,Total_score,Percentage,RLD_level
දන්නෙ නෑ,දන්නෙ නෑ,දුවගෙන,දන්නෙ නෑ,0,0,1,0,1,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,දන්නෙ නෑ,0,0,ගස,ගේට්ටුව,මල් පාත්තිය,1,0,1,2,අන්නාසි,සපත්තුව,1,1,2,සඳුදා,1,1,9,60.0,Average
වැසි දිනයක්,කැදිලි කරා,දුවගෙන,රෙදි ටික,1,1,1,1,4,පවනි,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ගේට්ටුව,ළිඳ,1,0,0,1,අන්නාසි,සපත්තුව,1,1,2,සඳුදා,1,1,11,73.33,Normal
වැස්ස ලඟ එන අවස්ථාවක්,කූඩු වලට,වේගයෙන්,රෙදි ටික,1,1,1,1,4,පවනි,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,දන්නෙ නෑ,0,0,ගස,දන්නෙ නෑ,පාත්තිය,1,0,1,2,අන්නාසි ගෙඩිය,සපත්තු 2,1,1,2,සඳුදා,1,1,11,73.33,Normal
වැහි දවසක්,කූඩු වලට,දුවන්,රෙදි ටික,1,1,1,1,4,දන්නෙ නෑ,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ගේට්ටුව,මල් පෝච්චිය,1,0,1,2,දන්නෙ නෑ,සපත්තු කුට්ටම,0,1,1,සඳුදා,1,1,11,73.33,Normal
වහින වෙලාවක,කූඩු වලට,දුවලා,රෙදි,1,1,1,1,4,දන්නෙ නෑ,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියෙක් වෙමු,1,1,2,අටයි,1,1,ගස,ගේට්ටුව,ළිඳ,1,0,0,1,අන්නාසි,සපත්තුව,1,1,2,සෞද,1,1,11,73.33,Normal
වැස්ස,කූඩු වලට,දන්නෙ නෑ,දන්නෙ නෑ,1,1,0,0,2,දන්නෙ නෑ,දන්නෙ නෑ,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියෝ වෙමු,1,1,2,අටයි,1,1,දන්නෙ නෑ,ගේට්ටුව,මල් පොකුරින්,0,0,1,1,අන්නසි,සපත්තු 2,1,1,2,සඳුදා,1,1,9,60.0,Average
වැස්ස,දන්නෙ නෑ,දන්නෙ නෑ,රෙදි ටික,1,0,0,1,2,දන්නෙ නෑ,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,දන්නෙ නෑ,ළිඳ,මල් පඳුර,0,1,1,2,අන්නාසි,සපත්තුව,1,1,2,ඉරිදා,0,0,9,60.0,Average
වැසි අවස්ථාවක්,කූඩුවට,කුඩ ඉහලාගෙන,වැලේ තිබූ රෙදි ටික,1,1,0,1,3,කසුන්,සහන්,1,1,2,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ගේට්ටුව,පඳුර,1,0,1,2,අන්නාසි,සපත්තු 2,1,1,2,සඳුදා,1,1,13,86.67,Normal
වැසි අවස්ථාවක්,කූඩු වලට,කලබලෙන්,රෙදි,1,1,1,1,4,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ගේට්ටුව,මල් පඳුර,1,0,1,2,අන්නාසි ගෙඩිය,ටීෂර්ට් 1,1,0,1,සඳුදා,1,1,12,80.0,Normal
වැස්ස වෙලාවට,අහසට,පයින්,දන්නෙ නෑ,1,0,0,0,1,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ගේට්ටුව,දන්නෙ නෑ,1,0,0,1,අන්නාසි,සපත්තු 2,1,1,2,සඳුදා,1,1,9,60.0,Average
