L1Q1,L1Q2,L1Q3,L1Q4,L1Q5,L1Q6,Total Marks,Shape 1,shape 2,shape 3,shape 4,Marks(Level 2),Level 3 Question,Marks (Level 3),Marks For Time,Total,Time,Target
3,2,2,1,2,1,12,5,6,5,4,6,"3, 4, 5, 6",12,0,30,230,1
2,1,1,1,1,1,3,3,3,4,2,0,"1, 2, 3, 4, 5",3,2,8,107,0
3,3,2,2,1,2,9,6,5,6,5,3,"6, 7, 8, 9",6,0,18,260,1
2,3,1,2,2,1,9,4,6,6,4,12,"4, 5, 6, 7, 8",15,2,38,101,1
3,2,2,1,1,2,6,4,6,6,3,9,"2, 3, 4, 5, 6",9,0,24,220,1
1,2,3,1,2,1,6,5,5,5,4,3,"5, 6, 7, 8",12,2,23,100,1
2,1,2,2,1,1,6,4,6,4,3,6,"3, 4, 5, 6, 7",15,2,29,102,1
3,3,2,1,2,2,12,6,6,6,5,6,"7, 8, 9, 10",0,2,20,106,1
1,1,2,1,2,1,9,3,3,3,2,0,"1, 2, 3, 4, 5",3,0,12,270,1
2,2,1,1,1,2,0,5,4,6,4,6,"4, 5, 6, 7, 8, 9",12,2,20,103,1
3,1,2,2,2,1,12,4,6,6,4,12,"3, 4, 5, 6, 7",15,2,41,100,2
2,3,3,1,1,2,3,4,6,6,4,12,"6, 7, 8, 9, 10",3,2,20,105,1
1,2,2,2,1,1,6,4,6,6,4,12,"2, 3, 4, 5, 6",9,2,29,101,1
4,2,1,1,1,2,0,2,2,6,4,6,"1, 2,3,4",0,0,6,235,0
1,3,1,4,1,2,3,3,4,5,4,3,"2, 4, 5, 7, 10",3,0,9,250,0
4,2,1,1,1,2,0,2,2,6,4,6,"1, 2,3,4",0,0,6,235,0
1,3,1,4,1,2,3,3,4,5,4,3,"2, 4, 5, 7, 10",3,0,9,250,0
4,2,1,1,1,2,0,2,2,6,4,6,"1, 2,3,4",0,0,6,235,0
1,3,1,4,1,2,3,3,4,5,4,3,"2, 4, 5, 7, 10",3,0,9,250,0
4,2,1,1,1,2,0,2,2,6,4,6,"1, 2,3,4",0,0,6,235,0
1,3,1,4,1,2,3,3,4,5,4,3,"2, 4, 5, 7, 10",3,0,9,250,0
4,2,1,1,1,2,0,2,2,6,4,6,"1, 2,3,4",0,0,6,235,0
1,3,1,4,1,2,3,3,4,5,4,3,"2, 4, 5, 7, 10",3,0,9,250,0
4,2,1,1,1,2,0,2,2,6,4,6,"1, 2,3,4",0,0,6,235,0
1,2,1,3,4,1,6,2,3,5,2,0,"1, 2, 5, 7, 8, 9",0,2,8,135,0
4,2,1,1,1,2,0,2,2,6,4,6,"1, 2,3,4",0,0,6,235,0
1,2,1,3,4,1,6,2,3,5,2,0,"1, 2, 5, 7, 8, 9",0,2,8,135,0
4,2,1,1,1,2,0,2,2,6,4,6,"1, 2,3,4",0,0,6,235,0
1,2,1,3,4,1,6,2,3,5,2,0,"1, 2, 5, 7, 8, 9",0,2,8,135,0
4,2,1,1,1,2,0,2,2,6,4,6,"1, 2,3,4",0,0,6,235,0
1,2,1,3,4,1,6,2,3,5,2,0,"1, 2, 5, 7, 8, 9",0,2,8,135,0
4,2,1,1,1,2,0,2,2,6,4,6,"1, 2,3,4",0,0,6,235,0
1,2,1,3,4,1,6,2,3,5,2,0,"1, 2, 5, 7, 8, 9",0,2,8,135,0
